dialogue,글자수
"오늘 날씨가 정말 화창하고 좋네요.
그러게요, 이런 날엔 어디론가 떠나고 싶어요.
맞아요, 가까운 공원에 산책이라도 갈까요?
너무 좋은 생각이에요! 점심 먹고 출발하죠.
네, 그럼 식사 후에 회사 앞에서 바로 만나요.
알겠습니다. 이따가 뵙겠습니다.
네, 맛있게 드세요.
네, 이따 봐요.
네!
좋아요.",169
"김 대리님, 지난번 회의록 정리 다 되셨나요?
네, 과장님. 방금 막 메일로 보내드렸습니다.
아, 벌써요? 정말 신속하게 처리해주셨네요.
별말씀을요. 확인 한번 부탁드립니다.
네, 지금 바로 확인해 볼게요. 정말 고맙습니다.
천만에요. 수정할 부분 있으면 알려주세요.
알겠습니다. 정말 수고 많으셨어요.
아닙니다.
네.
좋습니다.",184
"요즘 새로 나온 영화 중에 재미있는 거 뭐 있나요?
음, 어제 본 액션 영화가 꽤 볼만했어요.
아, 그거 평점이 엄청 높던데 어떠셨어요?
기대했던 것보다 스케일이 커서 좋았어요.
그렇군요. 주말에 시간 내서 보러 가야겠네요.
네, 강력하게 추천합니다! 꼭 보세요.
좋은 정보 정말 감사해요.
별말씀을요.
네.
좋아요.",177
"혹시 이 근처에 우체국이 어디에 있는지 아세요?
네, 이 길 따라서 쭉 가시면 바로 사거리에 있어요.
아, 그렇군요! 여기서 많이 멀지는 않겠네요?
네, 걸어서 5분 정도면 충분히 도착하실 거예요.
자세하게 알려주셔서 정말 감사합니다.
천만에요. 조심히 다녀오세요.
네, 덕분에 금방 찾을 수 있겠어요.
별말씀을요.
네.
알겠습니다.",186
"이번 주 금요일 저녁에 다 같이 식사 어때요?
오, 너무 좋죠! 제가 맛있는 곳 알아볼까요?
네, 이왕이면 분위기 좋은 곳으로 부탁해요.
알겠습니다. 메뉴는 어떤 걸로 생각하세요?
다들 잘 먹는 한식 쪽이 괜찮을 것 같아요.
좋아요. 몇 군데 찾아보고 공유해 드릴게요.
네, 기대하고 있겠습니다. 고마워요.
아닙니다.
네!
알겠습니다.",187
"이 팀장, 내일 오전까지 제안서 마무리 가능하겠죠?
네, 부장님. 현재 최종 검토 단계에 있습니다.
좋아요. 통계 자료 출처는 명확하게 기재해주세요.
네, 알겠습니다. 다시 한번 확인하겠습니다.
발표 전까지 시간 낭비 없이 잘 챙겨주세요.
네, 문제없도록 완벽하게 준비하겠습니다.
수고해줘요. 믿고 있겠습니다.
네, 감사합니다.
네.
알겠습니다.",193
"요즘 일교차가 커서 그런지 조금 으슬으슬하네요.
맞아요. 저도 아침에는 좀 춥더라고요.
따뜻한 차라도 한잔하시는 게 좋겠어요.
네, 그래야겠어요. 감기 조심해야죠.
맞아요. 건강이 최우선이니까요. 잘 챙기세요.
네, 걱정해주셔서 정말 감사합니다.
별말씀을요.
네.
좋아요.
네.",155
"박 주임, 다음 주 워크숍 장소는 정해졌나요?
네, 과장님. 후보지 두 곳을 정리해 두었습니다.
그래요? 어디가 괜찮은지 한번 볼까요.
자료 바로 출력해서 가져다드리겠습니다.
역시 일 처리가 정말 빠르네요. 고마워요.
천만에요. 제가 당연히 할 일인데요.
항상 꼼꼼하게 챙겨줘서 정말 든든해요.
별말씀을요.
네.
좋아요.",179
"혹시 요즘 즐겨 듣는 노래 있으시면 추천해주세요.
음, 저는 주로 잔잔한 재즈 음악을 듣는 편이에요.
아, 그러세요? 어떤 아티스트를 좋아하세요?
'쳇 베이커'의 트럼펫 연주를 정말 좋아해요.
오, 저도 들어본 적 있어요. 한번 찾아 들어볼게요.
네, 분명 마음에 드실 거예요. 추천합니다.
새로운 음악을 알게 되어 기쁘네요.
천만에요.
네.
좋아요.",196
"실례지만, 이 버스가 강남역으로 가는 게 맞나요?
아니요, 이 버스는 반대 방향으로 가는 버스예요.
아, 큰일 날 뻔했네요! 정말 감사합니다.
길 건너편 정류장에서 타셔야 해요.
그렇군요. 친절하게 알려주셔서 정말 고맙습니다.
별말씀을요. 조심히 가세요.
네, 덕분에 헤매지 않고 잘 가겠네요.
천만에요.
네.
알겠습니다.",180
"선배님, 지난번에 빌려주신 책 정말 잘 읽었어요.
아, 그래? 재미있게 읽었다니 정말 다행이다.
네, 덕분에 정말 유익한 시간을 보냈습니다.
그렇게 말해주니 빌려준 내가 더 기쁘네.
다음에 제가 더 좋은 책으로 추천해 드릴게요.
와, 정말? 기대하고 있을게.
네, 그럼요!
정말 고마워.
네.
좋아요.",168
"친구야, 진짜 미안한데 혹시 5천 원만 빌려줄래?
응? 괜찮아. 무슨 일이야?
아니, 내가 버스 카드를 충전한다는 걸 깜빡했어.
아, 그랬구나. 알았어, 지금 바로 보내줄게.
정말 고마워. 내일 만나면 바로 줄게.
아니야, 괜찮아. 나중에 편할 때 줘.
아니야, 잊어버리기 전에 내일 꼭 줄게.
알았어.
정말 고마워!
응, 어서 가.",186
"이번 주말에 별다른 계획 없으시면 영화 어때요?
오, 좋아요! 마침 보고 싶었던 영화가 있었어요.
정말요? 어떤 영화인지 물어봐도 될까요?
새로 개봉한 '서울의 밤'이라는 영화예요.
아, 저도 그거 정말 보고 싶었는데 잘 됐네요.
그럼 우리 토요일에 같이 보러 갈까요?
네, 좋아요! 제가 시간 맞춰 예매할게요.
와, 정말 고맙습니다.
네!
기대되네요.",197
"새로 합류하신 신입사원분이 정말 성실한 것 같아요.
맞아요, 저도 그렇게 생각했어요. 정말 열심히 해요.
모르는 것도 적극적으로 배우려는 자세가 보기 좋아요.
네, 그래서 제가 더 챙겨주고 싶더라고요.
분명히 나중에 우리 팀의 에이스가 될 거예요.
저도 그럴 거라고 믿고 있습니다.
정말 좋은 분이 오셔서 다행이에요.
네, 맞아요.
네.
좋아요.",193
"혹시 베이킹이 취미라고 하셨던가요?
네, 맞아요. 주말마다 작은 디저트를 만들어요.
와, 정말 멋진 취미를 가지고 계시네요.
아니에요. 그냥 소소한 즐거움일 뿐이에요.
나중에 기회가 되면 한번 맛보고 싶네요.
그럼요! 다음에 한번 만들어서 가져올게요.
와, 정말요? 너무 기대되네요!
별말씀을요.
네.
좋습니다.",174
"저기, 혹시 이 근처에 꽃집이 어디쯤 있을까요?
아, 저기 약국 보이시죠? 바로 그 옆 건물이에요.
아, 저기군요! 생각보다 훨씬 더 가까웠네요.
네, 아마 지금 가시면 문이 열려 있을 거예요.
그렇군요. 덕분에 금방 찾았네요. 감사합니다.
천만에요. 예쁜 꽃 선물하세요.
네, 정말 고맙습니다!
별말씀을요.
네.
알겠습니다.",182
"과장님, 지난번 조언해주신 덕분에 일이 잘 됐어요.
그래? 정말 다행이다. 잘 해결됐다니 기쁘네.
정말 어떻게 해야 할지 막막했는데 큰 힘이 됐어요.
별거 아니야. 앞으로도 어려운 일 있으면 얘기해.
정말 감사한 마음에 작은 음료수라도 준비했어요.
아니야, 마음만으로도 충분히 고마워.
부담 갖지 마시고 꼭 받아주셨으면 합니다.
그래, 정말 고맙네.
네.
고맙습니다.",205
"박 대리, 아까 공유한 자료에 오타가 좀 있네.
네, 팀장님. 죄송합니다. 제가 다시 확인하겠습니다.
응, 서두르지 말고 꼼꼼하게 한번 더 봐줘.
네, 알겠습니다. 수정 후 바로 다시 보고드리겠습니다.
그래, 오늘 중으로만 마무리해서 공유해줘.
네, 시간 내에 처리하도록 하겠습니다.
좋아, 수고해.
네! 감사합니다.
네.
알겠습니다.",187
