"dialogue","글자수"
"요즘 법률 공부 잘 돼?
그냥.
재미없어?
응.
왜 해?
그냥.
너 원래 다 이래?
응.
왜?
그냥.
너 정말 답이 없구나.
알아.
그래도 공부는 해야지.
알아.
근데 왜 안 해?
귀찮아서.
참나.
뭐.
너무 무관심한 거 아니야?
그럴 수도 있지.
좀 해.
싫어.
왜?
하기 싫어.
그래도.
뭐.
걱정돼서 그래.
걱정하지 마.
어떻게 걱정을 안 해.
그냥 안 하면 돼.
하...
왜.
답답해.
알아.
근데 왜 그래?
그냥.","236"
"요즘 유통업계 너무 힘들죠.
그러게요.
왜 이렇게 힘들어요?
그냥 다 힘들어요.
그래도 뭔가 이유가 있지 않을까요?
글쎄요. 잘 모르겠어요.
너무 냉담하신 거 아니에요?
그런가요?
네.
그래도 좀...
뭐요.
아무것도 아니에요.
왜 그렇게 무관심하세요?
신경 쓸 일이 너무 많아서요.
그렇군요.
네.
그래도 힘내세요.
네.
유통업계는 원래 이래요.
네, 그렇죠.
언제쯤 좋아질까요?
글쎄요. 세상은 원래 이런 것 같아요.
너무 염세적이신 거 아니에요?
네, 그런 것 같아요.","265"
"클라우드 기술에 대해 아는 게 있어?
아니.
왜?
별로 관심 없어서.
그래도 좀 알아야지.
왜?
요즘 시대에 클라우드를 모르면 안 돼.
굳이?
응.
난 별로.
왜 그렇게 편협하게 생각해?
그냥.
하... 답답하네.
왜.
너 정말 답이 없구나.
알아.
근데 왜 그렇게 살아?
그냥.","156"
"요즘 쇼핑을 자주 하시나 봐요.
네, 스트레스 해소에 도움이 되더라고요.
그렇군요. 혹시 제가 도와드릴 일이 있을까요?
아뇨, 괜찮습니다. 혼자 하는 쇼핑을 즐겨서요.
상냥하게 말씀하시네요.
하하, 감사합니다.
제가 좀 거만해 보이나요?
아뇨, 전혀요. 오히려 자신감 있어 보이세요.
그렇다면 다행이네요.
혹시 제가 추천해드릴 만한 쇼핑몰이 있을까요?
음... 괜찮습니다. 제 취향이 좀 까다로워서요.
하하, 괜찮아요. 제가 당신의 취향을 맞춰드릴게요.
정말요? 감사합니다!
별 말씀을요. 제가 이 구역의 쇼핑 전문가거든요.
거만하시네요.
하하, 농담이에요.
그래도 정말 멋지세요.
감사합니다.
혹시 이번 주말에 같이 쇼핑할래요?
네, 좋아요!
제가 맛있는 것도 사드릴게요.
와, 정말요? 너무 좋아요!
그럼 토요일에 만나요.
네!","409"
"싱글라이프, 카페, 키보드에 대한 대화 20개를 생성합니다. 대화는 15-19턴, 200-249자 길이로 구성되며, 알바생/작가/목사와 배우/심리치료사/선배 간에 박장대소하며, 놀라며, 상냥하게 대화하는 톤으로 진행됩니다.","124"
"요즘 싱글라이프가 대세라면서요?
네, 저도 그렇게 생각해요. 혼자 사는 게 편하고 좋죠.
아, 정말요? 저는 좀 외로울 것 같아서요.
에이, 무슨 소리예요. 혼자라서 더 자유롭고 좋은걸요.
그렇군요. 그럼 혼자서 뭐 하세요?
음, 책 읽고 영화 보고, 가끔 여행도 가요.
놀랍네요! 저는 혼자서는 아무것도 못 하는데.
하하, 그럴 필요 없어요. 해보면 별거 아니에요.
그래도 좀 무서울 것 같아요.
아뇨, 전혀요. 오히려 더 편해요.
하하하, 정말요? 너무 웃겨요.
왜요?
아뇨, 그냥... 상상만 해도 웃음이 나와서요.
네, 이해해요.
그래도 언젠가는 혼자서 여행도 해보고 싶어요.
네, 좋아요! 제가 도와드릴게요.
정말요? 감사합니다!","357"
"이 카페 분위기 너무 좋지 않아요?
네, 너무 좋아요. 정말 예쁘네요.
혹시 혼자 오신 건가요?
네, 혼자 왔어요.
놀랍네요! 저는 혼자서 카페에 잘 못 오거든요.
왜요?
뭔가 외로워 보여서요.
하하하, 무슨 소리예요. 혼자라서 더 좋아요.
정말요?
네. 혼자서 조용히 책 읽고 음악 듣고.
아, 그렇군요. 상상만 해도 좋네요.
네, 그럼요. 혼자만의 시간이 소중하죠.
그래도 가끔은 외롭지 않으세요?
음... 솔직히 말하면, 네. 가끔은요.
그럼 다음에는 저랑 같이 와요.
정말요? 감사합니다!","277"
"요즘 키보드에 관심이 많아요.
아, 기계식 키보드요?
네. 혹시 기계식 키보드 써보셨어요?
네, 써봤어요. 타건감이 정말 좋죠.
맞아요! 너무 좋아요.
혹시 혼자서 키보드 조립도 해보셨나요?
네, 해봤어요.
놀랍네요! 저는 그런 거 잘 못 하는데.
하하, 별거 아니에요. 해보면 금방 해요.
그래도 좀 어려울 것 같아요.
아뇨, 전혀요. 오히려 재미있어요.
하하하, 정말요? 너무 웃겨요.
왜요?
아뇨, 그냥... 상상만 해도 웃음이 나와서요.
네, 이해해요.
그래도 언젠가는 저도 직접 조립해보고 싶어요.
네, 좋아요! 제가 도와드릴게요.
정말요? 감사합니다!","314"
"싱글라이프에 대해 어떻게 생각하세요?
음... 저는 좀 외로울 것 같아요.
에이, 무슨 소리예요. 혼자 사는 게 얼마나 좋은데요.
정말요? 저는 아직 잘 모르겠어요.
혼자라서 더 자유롭고, 하고 싶은 거 다 할 수 있잖아요.
놀랍네요! 그렇게 생각할 수도 있군요.
네, 그럼요. 혼자만의 시간이 소중하죠.
그래도 가끔은 외롭지 않으세요?
음... 솔직히 말하면, 네. 가끔은요.
그럼 저랑 같이 놀아요!
정말요? 감사합니다!","237"
"요즘 캠핑 좋아하세요?
아뇨, 별로요.
왜요? 힘드세요?
네, 좀 힘들어서요.
뭐가 힘드신데요?
그냥 다요.
하하, 농담이죠?
아뇨, 진짜 힘들어요.
그래도 캠핑 가면 좋지 않아요?
글쎄요.
캠핑의 묘미는...
알아요. 근데 힘들어요.
괜찮아요, 다음에 같이 가요.
아뇨, 괜찮아요.
왜요?
그냥...
힘내세요!","174"
