dialogue,글자수
"요즘 날씨 진짜 이상하지? 요즘 좀 피곤하네. 음, 좀 고민되네. 근데 그거 어디서 봤어? 알겠어, 고마워! 출근길 진짜 힘들다. 맞아, 나도 비슷해. 비 오면 또 달라지려나. 알겠어, 고마워! 주말에 뭐할 계획이야? 조용히 쉬었어. 대박이다. 생각보다 괜찮더라. 슬슬 쉬어야겠다. 출근길 진짜 힘들다. 시간이 너무 빨리 간다. 헉, 진짜? 사진 있으면 보내줘. 나중에 이야기 더 하자.",216
"운동 다녀왔어. 시간이 너무 빨리 간다. 맞아, 나도 비슷해. 비 오면 또 달라지려나. 오늘도 파이팅하자. 오늘 뭐 했어? 일이 조금 많았어. 아 그렇구나. 내일은 좀 쉬어야겠다. 좋은 하루 보내! 오늘 뭐 했어? 대박이다. 다음에 같이 가자. 좋은 하루 보내! 카페에서 공부 중이야. 아 그렇구나. 사진 있으면 보내줘. 내일 봐.",185
"오늘 뭐 했어? 아 그렇구나. 쿠폰 있으면 같이 쓰자. 오늘도 파이팅하자. 주말에 뭐할 계획이야? 시간이 너무 빨리 간다. 음, 좀 고민되네. 다음에 같이 가자. 내일 봐. 오늘 뭐 했어? 시간이 너무 빨리 간다. 헉, 진짜? 쿠폰 있으면 같이 쓰자. 나중에 이야기 더 하자. 점심 먹었어? 아 그렇구나. 사진 있으면 보내줘. 슬슬 쉬어야겠다. 어제 그 드라마 봤어? 생각보다 바빴어. 맞아, 나도 비슷해. 근데 그거 어디서 봤어? 슬슬 쉬어야겠다.",251
"운동 다녀왔어. 시간이 너무 빨리 간다. 완전 공감해. 비 오면 또 달라지려나. 나중에 이야기 더 하자. 출근길 진짜 힘들다. 그럴 줄 알았어. 근데 그거 어디서 봤어? 연락줘! 저녁 메뉴 뭐가 좋을까? 오, 괜찮네. 근데 그거 어디서 봤어? 내일 봐. 오랜만이야, 잘 지냈어? 그럴 줄 알았어. 내일은 좀 쉬어야겠다. 슬슬 쉬어야겠다.",188
"출근길 진짜 힘들다. 그냥 그런 하루였어. 대박이다. 생각보다 괜찮더라. 슬슬 쉬어야겠다. 오랜만이야, 잘 지냈어? 맞아, 나도 비슷해. 내일은 좀 쉬어야겠다. 나중에 이야기 더 하자. 오랜만이야, 잘 지냈어? 완전 공감해. 근데 그거 어디서 봤어? 슬슬 쉬어야겠다. 오랜만이야, 잘 지냈어? 생각보다 바빴어. 오, 괜찮네. 내일은 좀 쉬어야겠다. 좋은 하루 보내! 점심 먹었어? 맞아, 나도 비슷해. 내일은 좀 쉬어야겠다. 조만간 보자. 어제 그 드라마 봤어? 맞아, 나도 비슷해. 근데 그거 어디서 봤어? 연락줘!",289
"저녁 메뉴 뭐가 좋을까? 그럴 줄 알았어. 쿠폰 있으면 같이 쓰자. 나중에 이야기 더 하자. 오랜만이야, 잘 지냈어? 그럴 줄 알았어. 쿠폰 있으면 같이 쓰자. 오늘도 파이팅하자. 카페에서 공부 중이야. 맞아, 나도 비슷해. 비 오면 또 달라지려나. 나중에 이야기 더 하자. 주말에 뭐할 계획이야? 생각보다 바빴어. 완전 공감해. 사진 있으면 보내줘. 내일 봐. 저녁 메뉴 뭐가 좋을까? 완전 공감해. 생각보다 괜찮더라. 조만간 보자.",243
"오랜만이야, 잘 지냈어? 맞아, 나도 비슷해. 다음에 같이 가자. 알겠어, 고마워! 오늘 뭐 했어? 조용히 쉬었어. 대박이다. 다음에 같이 가자. 나중에 이야기 더 하자. 저녁 메뉴 뭐가 좋을까? 대박이다. 쿠폰 있으면 같이 쓰자. 슬슬 쉬어야겠다. 오랜만이야, 잘 지냈어? 별일은 없었어. 헉, 진짜? 비 오면 또 달라지려나. 슬슬 쉬어야겠다. 오늘 뭐 했어? 음, 좀 고민되네. 다음에 같이 가자. 나중에 이야기 더 하자. 요즘 날씨 진짜 이상하지? 오, 괜찮네. 사진 있으면 보내줘. 좋은 하루 보내!",283
"어제 그 드라마 봤어? 생각보다 바빴어. 대박이다. 비 오면 또 달라지려나. 조만간 보자. 오랜만이야, 잘 지냈어? 헉, 진짜? 생각보다 괜찮더라. 연락줘! 운동 다녀왔어. 아 그렇구나. 내일은 좀 쉬어야겠다. 나중에 이야기 더 하자. 오늘 뭐 했어? 음, 좀 고민되네. 근데 그거 어디서 봤어? 조만간 보자.",173
"오늘 뭐 했어? 요즘 좀 피곤하네. 그럴 줄 알았어. 쿠폰 있으면 같이 쓰자. 알겠어, 고마워! 어제 그 드라마 봤어? 맞아, 나도 비슷해. 근데 그거 어디서 봤어? 오늘도 파이팅하자. 출근길 진짜 힘들다. 별일은 없었어. 음, 좀 고민되네. 시간 괜찮으면 알려줘. 슬슬 쉬어야겠다.",158
"카페에서 공부 중이야. 생각보다 바빴어. 그럴 줄 알았어. 생각보다 괜찮더라. 조만간 보자. 저녁 메뉴 뭐가 좋을까? 맞아, 나도 비슷해. 근데 그거 어디서 봤어? 조만간 보자. 오늘 뭐 했어? 생각보다 바빴어. 아 그렇구나. 다음에 같이 가자. 알겠어, 고마워! 오늘 뭐 했어? 일이 조금 많았어. 대박이다. 사진 있으면 보내줘. 조만간 보자.",193
"어제 그 드라마 봤어? 오, 괜찮네. 내일은 좀 쉬어야겠다. 오늘도 파이팅하자. 어제 그 드라마 봤어? 아 그렇구나. 내일은 좀 쉬어야겠다. 연락줘! 출근길 진짜 힘들다. 생각보다 바빴어. 음, 좀 고민되네. 다음에 같이 가자. 오늘도 파이팅하자. 출근길 진짜 힘들다. 조용히 쉬었어. 대박이다. 다음에 같이 가자. 나중에 이야기 더 하자. 저녁 메뉴 뭐가 좋을까? 일이 조금 많았어. 음, 좀 고민되네. 시간 괜찮으면 알려줘. 연락줘!",244
